Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Wu ji;May;5;2006;30;0.669625;35.869.934
Taps;Dec;9;1981;14;35.856.053;35.856.053
The Black Hole;Dec;21;1979;20;35.841.901;35.841.901
Arbitrage;Sep;14;2012;12;7.919.574;35.830.713
My Dog Skip;Jan;12;2000;7;3.409.964;35.795.319
Faster;Nov;24;2010;24;2.324.002;35.792.945
Father's Day;May;9;1997;85;2.868.108;3.568.108
The Indian in the Cupboard;Jul;14;1995;45;35.627.222;35.627.222
Tyler Perry's Good Deeds;Feb;24;2012;14;35.025.791;35.579.177
Steve Jobs;Oct;9;2015;30;17.766.658;35.579.007
Crank 2: High Voltage;Apr;17;2009;20;13.684.249;35.472.739
Selena;Mar;21;1997;20;35.450.113;35.450.113
Alex Cross;Oct;19;2012;35;25.888.412;35.426.759
Basic Instinct 2;Mar;31;2006;70;5.946.136;35.417.162
Diary of a Wimpy Kid: The Long Haul;May;19;2017;22;20.738.724;35.355.942
The Lazarus Effect;Feb;27;2015;5;2.580.157;35.341.814
EDtv;Mar;26;1999;60;22.508.689;35.319.689
Alfie;Nov;5;2004;40;13.395.939;35.195.939
Courageous;Sep;30;2011;2;34.522.221;35.185.884
The Adventures of Rocky & Bullwinkle;Jun;30;2000;76;2.600.061;3.512.961
Die Welle;May;27;2011;Tem.25;0;35.122.948
Whatever Works;Jun;19;2009;15;5.306.706;35.106.706
Commando;Oct;4;1985;10;35.073.978;35.073.978
The Skulls;Mar;31;2000;15;3.500.718;3.500.718
Eye in the Sky;Mar;11;2016;13;18.704.596;34.916.128
A Thin Line Between Love & Hate;Apr;3;1996;8;34.873.513;34.873.513
Freddy’s Dead: The Final Nightmare;Sep;13;1991;5;34.872.033;34.872.033
The November Man;Aug;27;2014;15;25.018.119;34.820.335
The Life Aquatic with Steve Zissou;Dec;10;2004;50;24.006.726;34.806.726
My Best Friend's Girl;Sep;19;2008;20;1.921.925;34.787.111
White Fang;Jan;18;1991;14;34.729.091;34.729.091
Endless Love;Feb;14;2014;20;2.343.825;34.718.173
Dangerous Liaisons;Dec;21;1988;14;34.7;34.7
Nixon;Dec;20;1995;45;13.668.249;34.668.249
Everyone Says I Love You;Dec;6;1996;20;9.725.847;34.6
The Best Man;Oct;22;1999;9;3.410.278;3.457.278
Hawaii;Oct;10;1966;15;34.562.222;34.562.222
That Thing You Do!;Oct;4;1996;2.May;25.857.416;34.557.416
In Bruges;Feb;8;2008;15;7.800.825;34.533.783
Woodstock;Mar;26;1970;0.6;3.450.511;3.450.511
Malibu's Most Wanted;Apr;18;2003;15;34.308.901;34.499.204
Broken City;Jan;18;2013;35;19.701.164;34.480.045
Zambezia;Dec;31;2012;20;0;34.454.631
The Usual Suspects;Aug;16;1995;6;23.341.568;34.449.356
The Doors;Mar;1;1991;40;34.416.893;34.416.893
Darkness;Dec;25;2004;10.Haz;22.163.442;34.409.206
Swimfan;Sep;6;2002;10;28.564.995;34.364.995
Gone, Baby, Gone;Oct;19;2007;19;20.300.218;34.352.162
Snowden;Sep;16;2016;50;21.587.519;3.430.195
You Will Meet a Tall Dark Stranger;Sep;22;2010;15;3.247.816;34.247.816
Viy;Jun;30;2015;26;0;3.424.677
My Week with Marilyn;Nov;23;2011;10;14.597.405;34.240.572
Sling Blade;Nov;20;1996;483.361;24.475.416;34.175
Child's Play 2;Nov;9;1990;13;26.904.572;34.166.572
Entre les murs;Jan;30;2009;Mar.25;376.681;34.114.067
Instinct;Jun;4;1999;55;34.105.207;34.105.207
Instinct;Jun;4;1999;55;34.105.207;34.105.207
Suffragette;Oct;23;2015;14;470.242;34.044.909
Flight of the Phoenix;Dec;17;2004;75;2.100.918;3.400.918
Day of the Dead;Jun;30;1985;3.May;5.804.262;34.004.262
The Relic;Jan;10;1997;60;33.956.608;33.956.608
Ne le dis à personne;Jul;4;2008;18.May;6.198.883;33.954.018
Lockout;Apr;13;2012;20;14.326.865;33.943.049
Nochnoy dozor;Feb;17;2006;4.Şub;1.502.188;33.913.542
Nick and Norah's Infinite Playlist;Oct;3;2008;10;31.487.293;33.886.017
Dungeons and Dragons;Dec;8;2000;35;15.185.241;33.771.965
Winchester;Feb;2;2018;3.May;24.704.023;33.763.459
Jay and Silent Bob Strike Back;Aug;24;2001;22;30.059.386;337.624
The Wizard of Oz;Aug;25;1939;2.777;33.711.566;33.754.967
Self/Less;Jul;10;2015;26;12.279.691;33.713.827
Y Tu Mamá También;Mar;15;2002;5;13.649.881;33.649.881
Hostel: Part II;Jun;8;2007;7.May;17.544.812;33.606.409
Friday After Next;Nov;22;2002;10;33.253.609;33.526.835
Run, Fatboy, Run;Mar;28;2008;10;6.003.262;3.351.226
Because of Winn-Dixie;Feb;18;2005;15;32.647.042;33.508.485
The Bad News Bears;Jul;22;2005;35;32.868.349;3.350.062
Whiplash;Oct;10;2014;3.Mar;13.092.006;33.474.334
Fireproof;Sep;26;2008;0.5;33.456.317;33.473.297
Red Planet;Nov;10;2000;80;1.748.089;33.463.969
Mystery Men;Aug;6;1999;68;29.762.011;33.462.011
The Long Kiss Goodnight;Oct;11;1996;65;33.447.612;33.447.612
The Crocodile Hunter: Collision Course;Jul;12;2002;12.May;28.436.931;33.436.931
Black Knight;Nov;21;2001;35;33.422.806;33.422.806
Wonder Boys;Feb;23;2000;35;19.389.454;33.422.485
Rosemary's Baby;Jun;12;1968;3.Şub;33.395.426;33.395.426
Planet of the Apes;Feb;8;1968;5.Ağu;33.395.426;33.395.426
2016: Obama’s America;Jul;13;2012;2.May;33.349.941;33.349.941
Get on Up;Aug;1;2014;30;30.569.935;33.339.868
The Bridge on the River Kwai;Dec;18;1957;3;33.3;33.3
Hello, Dolly;Dec;16;1969;24;33.208.099;33.208.099
Silverado;Jul;10;1985;26;33.2;33.2
Victor Frankenstein;Nov;25;2015;40;5.775.076;33.175.076
Blade Runner;Jun;25;1982;28;32.656.328;33.139.457
Confessions of a Teenage Drama Queen;Feb;20;2004;15;29.331.068;33.118.854
Hart's War;Feb;15;2002;70;19.076.815;33.076.815
The Perks of Being a Wallflower;Sep;21;2012;13;17.742.948;33.069.303
Seven Psychopaths;Oct;12;2012;13.May;15.024.049;33.035.736
Confessions of a Dangerous Mind;Dec;31;2002;29;16.007.718;33.013.805
Dracula 2000;Dec;22;2000;28;33.000.377;33.000.377
The Last Dragon;Mar;22;1985;10;33;33
Mercury Rising;Apr;3;1998;60;32.983.332;32.983.332
Friday the 13th Part IV: The Final Chapter;Apr;13;1984;2.Haz;3.298.088;3.298.088
Awake;Nov;30;2007;8.Haz;14.373.825;32.968.648
88 Minutes;Apr;18;2008;30;16.930.884;32.955.399
The Producers: The Movie Musical;Dec;16;2005;45;19.398.532;32.952.995
Inside Llewyn Davis;Dec;6;2013;11;13.248.209;32.943.247
Project Almanac;Jan;30;2015;12;22.348.241;32.909.437
You Again;Sep;24;2010;20;25.702.053;32.838.945
Luther;Sep;26;2003;35;5.781.086;32.736.879
Katy Perry: Part of Me;Jul;5;2012;12;25.326.071;32.700.439
The Invention of Lying;Oct;2;2009;18.May;18.451.251;32.679.264
Return to Me;Apr;7;2000;24;32.662.299;32.662.299
Coming Home;Jan;1;1978;3;32.653;32.653
Burnt;Oct;30;2015;20;13.651.946;32.632.668
Leap Year;Jan;8;2010;19;2.591.892;3.261.892
Kabhi Alvida Naa Kehna;Aug;11;2006;Eki.75;3.275.443;32.575.443
Adaptation;Dec;6;2002;18.May;2.249.852;32.531.759
Krrish;Jun;23;2006;10;1.430.721;32.430.721
Being John Malkovich;Oct;29;1999;13;22.858.926;32.382.381
Kevin Hart: Let Me Explain;Jul;3;2013;2.May;32.244.051;32.327.255
Dance Flick;May;22;2009;25;25.794.018;32.224.624
Kingpin;Jul;26;1996;25;25.023.424;32.223.424
The Lost Boys;Jul;31;1987;8.May;32.222.567;32.222.567
Shark Night 3D;Sep;2;2011;25;18.877.153;32.209.741
The Lawnmower Man;Mar;6;1992;10;32.100.816;32.100.816
Cidade de Deus;Jan;17;2003;3.Mar;7.563.397;32.059.295
Copycat;Oct;27;1995;20;32.051.917;32.051.917
Sunshine;Jul;20;2007;40;368.856;3.203.061
The Age of Innocence;Sep;17;1993;34;32.014.993;32.014.993
Jennifer's Body;Sep;18;2009;16;16.204.793;31.943.401
Dressed to Kill;Jan;1;1980;6.May;31.899;31.899
The Young Victoria;Dec;18;2009;35;11.001.272;31.878.891
The Shadow;Jul;1;1994;40;318.356;318.356
Lake Placid;Jul;16;1999;27;31.770.413;31.770.413
Mr. Nice Guy;Mar;20;1998;6;12.716.953;31.716.953
Pinocchio;Dec;25;2002;45;3.681.811;31.681.811
Paint Your Wagon;Oct;15;1969;20;31.678.778;31.678.778
History of the World: Part I;Jun;12;1981;11;31.672;31.672
Rent;Nov;23;2005;40;29.077.547;3.167.062
The Girl Next Door;Apr;9;2004;25;14.589.444;3.163.515
Benji;Nov;15;1974;0.5;3.155.956;3.155.956
Mud;Apr;26;2013;10;21.590.086;31.556.959
Lage Raho Munna Bhai;Sep;1;2006;2.Tem;2.217.561;31.517.561
Premium Rush;Aug;24;2012;35;20.275.446;31.393.201
Rob Roy;Apr;7;1995;28;31.390.587;31.390.587
An Ideal Husband;Jun;18;1999;10.Tem;18.542.974;31.341.183
The Iron Giant;Aug;4;1999;50;23.159.305;31.333.917
Lost Souls;Oct;13;2000;28;16.779.636;31.320.293
Johnson Family Vacation;Apr;7;2004;12;31.203.964;31.286.759
How High;Dec;21;2001;12;31.155.435;31.222.395
The House;Jun;30;2017;40;25.584.504;31.192.743
Movie 43;Jan;25;2013;10;8.840.453;31.164.747
Joyful Noise;Jan;13;2012;27.May;30.932.113;31.157.914
Nocturnal Animals;Nov;18;2016;22.May;10.663.357;31.151.819
Spring Breakers;Mar;15;2013;5;14.124.286;31.149.251
Love in the Time of Cholera;Nov;16;2007;45;4.617.608;31.077.418
Grosse Pointe Blank;Apr;11;1997;15;28.084.357;31.070.412
High Anxiety;Dec;23;1977;3.Nis;31.063.038;31.063.038
Igor;Sep;19;2008;22;19.528.602;31.013.349
Joe Dirt;Apr;11;2001;16;27.087.695;30.987.695
Ultraviolet;Mar;3;2006;30;18.522.064;30.962.112
Be Kind Rewind;Feb;22;2008;20;11.175.164;30.894.247
Hearts in Atlantis;Sep;28;2001;31;24.185.781;30.885.781
The Water Diviner;Apr;24;2015;22.May;4.200.117;30.864.649
The Princess Bride;Sep;25;1987;15;30.857;30.858.487
Secret in Their Eyes;Nov;20;2015;20;20.180.155;30.808.558
Nancy Drew;Jun;15;2007;20;25.584.685;30.703.845
When the Bough Breaks;Sep;9;2016;10;29.747.603;30.629.507
Superstar;Oct;8;1999;14;30.628.981;30.628.981
Virus;Jan;15;1999;75;1.401.069;3.062.669
The Raven;Apr;27;2012;26;16.008.272;30.601.801
Flipper;May;17;1996;25.53;2.008.002;30.593.313
From Here to Eternity;Aug;5;1953;Oca.65;30.May;30.May
2 For the Money;Oct;7;2005;20;22.991.379;30.491.379
An American Haunting;May;5;2006;14;16.298.046;30.443.277
East is East;Apr;14;2000;3;4.170.647;30.438.635
Stick It;Apr;28;2006;20;26.910.736;30.399.714
Mortdecai;Jan;23;2015;60;7.696.134;30.396.134
A Serious Man;Oct;2;2009;7;9.228.788;3.036.057
Cabin Fever;Sep;12;2003;1.May;21.158.188;30.351.664
Shaun of the Dead;Sep;24;2004;5;13.542.874;30.332.385
A Night at the Roxbury;Oct;2;1998;17;30.331.165;30.331.165
Queen of the Damned;Feb;22;2002;35;30.307.804;30.307.804
Silmido;Apr;23;2004;8.May;0.298347;30.298.347
American Ultra;Aug;21;2015;28;14.439.985;30.295.076
The Great Debaters;Dec;25;2007;15;30.226.144;30.261.293
Pulse;Aug;11;2006;20.May;20.264.436;30.241.435
The Art of War;Aug;25;2000;40;30.199.105;30.199.105
What's Your Number?;Sep;30;2011;20;14.011.084;30.163.785
Jane Austen's Mafia;Jul;24;1998;10;19.843.795;30.143.795
When the Game Stands Tall;Aug;22;2014;15;30.127.963;30.138.912
Che, El Ar the Argentine;Dec;12;2008;58;0.293708;30.118.557
Che, El Ar the Argentine;Dec;12;2008;58;0.293708;30.118.557
Night of the Living Dead;Oct;1;1968;0.114;12.087.064;30.087.064
Dragonfly;Feb;22;2002;60;30.063.805;30.063.805
Metegol;Dec;31;2013;22;0;30.051.905
Road House;May;19;1989;10;30.050.028;30.050.028
ПОСЛЕДНИЙ БОГАТЫРЬ;Dec;31;2017;8.May;0;30.039.595
Quo Vadis?;Feb;23;1951;Ağu.25;30;30.022
Ghost Town;Sep;19;2008;20;13.367.624;29.958.228
Laws of Attraction;Apr;30;2004;32;17.848.322;29.948.322
New in Town;Jan;30;2009;8;16.734.283;29.937.909
Small Time Crooks;May;19;2000;18;17.266.359;29.934.477
Mandela: Long Walk to Freedom;Nov;29;2013;35;8.323.085;29.890.402
The Four Feathers;Sep;20;2002;35;18.306.166;29.882.645
Shorts;Aug;21;2009;20;20.919.166;29.870.801
The Losers;Apr;23;2010;25;23.591.432;2.986.384
Draft Day;Apr;11;2014;25;28.842.237;2.984.748
St. Trinian’s;Oct;9;2009;11.Nis;0.015;29.830.239
Double Take;Jan;12;2001;24;29.823.162;29.823.162
Riding in Cars with Boys;Oct;19;2001;47;29.781.453;29.781.453
Battlefield Earth: A Saga of the Year 3000;May;12;2000;80;21.471.685;29.725.663
An Education;Oct;9;2009;7.May;12.574.914;29.652.736
La grande bellezza;Nov;15;2013;12;2.883.879;29.549.145
Tora, Tora, Tora;Sep;23;1970;25;29.548.291;29.548.291
Angel Eyes;May;18;2001;38;24.044.532;29.544.532
Twilight Zone: The Movie;Jun;24;1983;10;29.May;29.May
The Pledge;Jan;19;2001;45;1.971.993;29.406.132
The Evil Dead;Apr;15;1983;0.375;2.Nis;29.Nis
De rouille et d’os;Nov;23;2012;19.May;2.061.449;29.393.634
Across the Universe;Sep;14;2007;45;24.343.673;29.367.143
The Prince & Me;Apr;2;2004;30;28.165.882;29.356.757
A Low Down Dirty Shame;Nov;23;1994;10;29.317.886;29.317.886
The Stepfather;Oct;16;2009;20;29.062.561;29.227.561
The Road;Nov;25;2009;25;811.427;29.206.732
Bulworth;May;15;1998;30;26.528.684;29.203.383
The Rose;Nov;7;1979;8.May;29.2;29.2
Rang De Basanti;Jan;27;2006;5.Mar;2.197.694;29.197.694
The Object of my Affection;Apr;17;1998;15;29.145.924;29.145.924
Double Impact;Aug;9;1991;16;29.090.445;29.090.445
Far From Heaven;Nov;8;2002;13.May;15.901.849;29.027.914
Wolf Creek;Dec;25;2005;1.Oca;16.186.348;29.005.064
The New Guy;May;10;2002;13;28.972.187;28.972.187
The Life of David Gale;Feb;21;2003;50;19.694.635;28.920.188
The Upside of Anger;Mar;11;2005;12;18.761.993;28.915.761
Heist;Nov;9;2001;35;23.483.357;28.906.817
The Player;Apr;10;1992;8;21.706.101;28.876.702
Girl, Interrupted;Dec;21;1999;24;2.887.119;2.887.119
Case 39;Oct;1;2010;27;13.261.851;28.773.827
Boiler Room;Feb;18;2000;9;16.963.963;28.773.637
Yu-Gi-Oh;Aug;13;2004;20;1.976.269;2.876.269
Baby Boy;Jun;27;2001;16;28.734.552;28.734.552
The Brothers Grimsby;Mar;11;2016;35;6.864.016;28.721.408
Agent Cody Banks 2: Destination London;Mar;12;2004;26;23.514.247;28.703.083
American Psycho;Apr;14;2000;8;15.070.285;28.674.417
Wrong Turn;May;30;2003;10;15.417.771;28.649.556
W.;Oct;17;2008;25.Oca;25.534.493;28.575.778
The Out-of-Towners;Apr;2;1999;40;2.854.412;2.854.412
Frost/Nixon;Dec;5;2008;29;18.622.031;28.452.945
The 33;Nov;13;2015;25;12.227.722;28.400.715
Hoffa;Dec;25;1992;35;23.365.858;28.391.473
Go!;Apr;9;1999;6.May;16.875.273;28.383.441
Lock, Stock and Two Smoking Barrels;Mar;5;1999;Oca.35;3.897.569;28.356.188
A Man for All Seasons;Dec;12;1966;3.Eyl;28.35;28.35
Taxi Driver;Feb;8;1976;1;28.262.574;28.316.211
Brown Sugar;Oct;11;2002;8;27.362.712;28.315.272
The Shawshank Redemption;Sep;23;1994;25;28.241.469;28.307.092
Let Me In;Oct;1;2010;20;12.134.935;28.270.399
Thunderbirds;Jul;30;2004;55;6.768.055;28.231.444
Thunderbirds;Jul;30;2004;55;6.768.055;28.231.444
20,000 Leagues Under the Sea;Dec;23;1954;5;28.Şub;28.Şub
A Single Man;Dec;11;2009;7;9.176;28.142.379
Doogal;Feb;24;2006;20;7.578.946;28.058.652
Cirque du Soleil: Worlds Away;Dec;21;2012;25;12.512.862;28.012.862
Loaded Weapon 1;Feb;5;1993;13;27.979.399;27.979.399
The Brothers;Mar;23;2001;6;27.457.409;27.958.191
Friday;Apr;26;1995;3.May;27.467.564;27.936.778
Appaloosa;Sep;19;2008;20;20.211.394;27.911.453
Traitor;Aug;27;2008;22;23.530.831;27.882.226
Mrs. Henderson Presents;Dec;9;2005;20;11.036.366;27.836.366
RocknRolla;Oct;8;2008;18;5.700.626;27.794.339
Air Bud;Aug;1;1997;3;24.646.936;27.788.649
Saving Grace;Aug;4;2000;4;12.178.602;27.786.849
Nurse Betty;Sep;8;2000;24;25.170.054;27.732.366
Menace II Society;May;26;1993;3.May;27.731.527;27.731.527
Love and Basketball;Apr;21;2000;15;27.441.122;27.709.625
Dark Skies;Feb;22;2013;3.May;17.418.667;27.704.111
To Die For;Sep;27;1995;20;21.284.514;27.688.744
The Island of Dr. Moreau;Aug;23;1996;40;27.682.712;27.682.712
Goal! The Dream Begins;May;12;2006;33;4.283.255;27.610.873
The Thing;Oct;14;2011;38;16.999.934;27.573.078
Michael Collins;Oct;11;1996;25;11.092.559;27.572.844
The Muppet Christmas Carol;Dec;11;1992;12;27.281.507;27.492.918
Tailor of Panama;Mar;30;2001;18;13.491.653;27.491.653
Ramona and Beezus;Jul;23;2010;15;26.167.002;27.469.621
Poetic Justice;Jul;23;1993;14;27.450.453;27.450.453
Dune;Dec;14;1984;45;27.447.471;27.447.471
The Incredible Burt Wonderstone;Mar;15;2013;32;22.537.881;27.392.609
Norm of the North;Jan;15;2016;18;17.062.499;27.392.195
Clerks II;Jul;21;2006;5;24.148.068;27.342.246
Big Eyes;Dec;25;2014;10;14.482.031;27.317.872
Dark City;Feb;27;1998;27;14.435.076;27.257.061
Zwartboek;Apr;6;2007;22;4.398.532;27.238.354
A Passage to India;Dec;14;1984;27.May;27.187.653;27.187.653
Baby Geniuses;Mar;12;1999;13;2.715.149;2.715.149
Observe and Report;Apr;10;2009;18;24.007.324;27.148.898
The Cave;Aug;26;2005;30;15.007.991;27.147.991
Mongol;Jun;6;2008;18;5.705.761;27.147.349
Flash Gordon;Dec;5;1980;35;2.710.796;2.710.796
The Story of Us;Oct;15;1999;50;2.710.003;2.710.003
Fast Times at Ridgemont High;Aug;13;1982;4.May;2.709.288;2.709.288
The Big Hit;Apr;24;1998;13;27.066.941;27.066.941
The Musketeer;Sep;7;2001;40;27.053.815;27.053.815
Monsoon Wedding;Feb;22;2002;1.Şub;13.876.974;270.256
Un monstre à Paris;Apr;16;2013;40;0;27.000.381
Rendition;Oct;19;2007;27.May;9.736.045;26.939.925
Spy Hard;May;24;1996;18;26.936.265;26.936.265
Tron;Jul;9;1982;17;26.918.576;26.918.576
Splice;Jun;4;2010;30;1.701.017;26.857.459
The Way Way Back;Jul;5;2013;5;2.150.269;2.685.381
Eye for an Eye;Jan;12;1996;20;267.927;267.927
Baahubali: The Beginning;Jul;10;2015;40;6.738;26.736.665
Sorority Row;Sep;11;2009;12.May;11.965.282;26.735.797
A Prairie Home Companion;Jun;9;2006;10;20.342.852;26.716.191
One True Thing;Sep;18;1998;30;23.337.196;26.708.196
Timeline;Nov;26;2003;80;19.480.739;26.703.184
Event Horizon;Aug;15;1997;60;26.673.242;26.673.242
Oliver Twist;Sep;23;2005;65;207.092;2.667.092
Blast from the Past;Feb;12;1999;35;2.661.362;2.661.362
Glory;Dec;13;1989;18;2.659.358;2.659.358
The Texas Chainsaw Massacre;Oct;18;1974;0.14;26.572.439;26.572.439
Harriet the Spy;Jul;10;1996;13;26.570.048;26.570.048
The Great Gatsby;Mar;29;1974;7;265.332;265.332
Apollo 18;Sep;2;2011;5;17.686.929;26.517.819
Conan the Destroyer;Jun;29;1984;18;26.Nis;26.Nis
Upside Down;Mar;15;2013;50;0.102118;26.387.039
The Quiet American;Nov;22;2002;20;12.987.647;26.348.203
The Box;Nov;6;2009;25;15.051.977;26.341.896
The Whole Ten Yards;Apr;9;2004;30;16.323.969;26.323.969
Howards End;Mar;13;1992;8;26.124.872;26.317.943
Dumb and Dumberer: When Harry Met Lloyd;Jun;13;2003;30;26.214.846;26.214.846
Blood Work;Aug;9;2002;50;26.199.517;26.199.517
The New World;Dec;25;2005;30;12.712.093;261.844
U2 3D;Jan;23;2008;15;12.898.847;26.170.402
Les Couloirs du temps: Les visiteurs 2;Mar;27;1998;20;0.146072;26.146.072
Your Highness;Apr;8;2011;50;21.596.445;26.121.638
Fair Game;Nov;3;1995;50;11.497.497;26.097.497
Indigènes;Dec;15;2006;18.Eyl;0.3207;26.063.572
The Elephant Man;Oct;3;1980;5;26.010.864;26.010.864
Do the Right Thing;Jun;30;1989;6;26.004.026;26.004.026
Jackie;Dec;2;2016;9;13.960.394;25.969.736
Triple 9;Feb;26;2016;20;12.639.297;25.943.792
Mao's Last Dancer;Aug;20;2010;18;480.675;25.941.437
The Cotton Club;Dec;14;1984;48;25.928.721;25.928.721
Les invasions barbares;May;9;2003;5;Ağu.46;25.913.869
Cry Freedom;Nov;6;1987;29;5.899.797;25.899.797
Carrie;Nov;16;1976;1.Ağu;25.878.153;25.878.153
All About the Benjamins;Mar;8;2002;14;25.482.931;25.873.145
Saving Silverman;Feb;9;2001;22;19.351.569;25.873.142
Billy Lynn’s Long Halftime Walk;Nov;11;2016;40;1.738.477;25.863.458
The Bye Bye Man;Jan;13;2017;7.Nis;22.395.806;25.863.405
Our Idiot Brother;Aug;26;2011;5;2.481.483;25.861.249
Rollerball;Feb;8;2002;70;18.990.542;25.852.508
Shadowlands;Dec;29;1993;22;25.842.377;25.842.377
From Dusk Till Dawn;Jan;19;1996;20;25.728.961;25.732.986
Ice Princess;Mar;18;2005;25;24.381.334;25.732.334
Das Weisse Band: Eine deutsche Kindergeschichte;Dec;30;2009;18;2.222.862;25.727.044
The Outsiders;Mar;25;1983;10;25.697.647;25.697.647
Perfectos Desconocidos;Dec;31;2017;4;0;25.678.357
The Wind That Shakes the Barley;Mar;16;2007;8.Mar;1.829.142;25.670.174
Enough Said;Sep;18;2013;8;17.550.872;25.621.449
Jonah: A VeggieTales Movie;Oct;4;2002;14;25.571.351;25.608.779
Halloween II;Oct;30;1981;2.May;25.533.818;25.533.818
Desperado;Aug;25;1995;7;25.532.388;25.532.388
Top Five;Dec;12;2014;12;25.317.379;25.514.848
A Nightmare on Elm Street;Nov;9;1984;1.Ağu;25.504.513;25.504.513
Elle s'appelait Sarah;Jul;22;2011;14.May;76.917;25.480.031
The Last Exorcism Part II;Mar;1;2013;4;15.179.303;25.448.707
Escape from L.A.;Aug;9;1996;50;25.426.861;25.426.861
Persepolis;Dec;25;2007;7.Mar;4.443.403;2.539.746
The Cold Light of Day;Sep;7;2012;20;3.763.583;25.361.206
Can't Hardly Wait;Jun;12;1998;10;25.358.996;25.358.996
The Last Legion;Aug;17;2007;67;593.206;25.357.771
25th Hour;Dec;19;2002;4.May;13.084.595;2.534.449
Le prénom;Nov;16;2012;11;0.061611;25.307.405
Bride & Prejudice;Feb;11;2005;7;6.601.079;2.526.904
Big Miracle;Feb;3;2012;40;201.573;2.526.868
Escape from New York;Jul;10;1981;6;252.447;252.447
Grace of Monaco;Dec;1;2015;30;0;25.199.891
Mr. Turner;Dec;19;2014;14;3.958.546;25.187.026
Corky Romano;Oct;12;2001;11;23.978.402;25.116.103
Cursed;Feb;25;2005;35;19.294.901;25.114.901
Midnight in the Garden of Good and Evil;Nov;21;1997;35;25.078.937;25.078.937
The Wood;Jul;16;1999;6;2.505.964;2.505.964
Wyatt Earp;Jun;24;1994;63;25.052;25.052
Mad Money;Jan;18;2008;22;20.668.843;25.044.057
Mommie Dearest;Sep;18;1981;5;19.032;25.032
Exorcist II: The Heretic;Jun;17;1977;14;25.011;25.011
The Stewardesses;Jul;25;1969;0.2;13.May;25
Some Like it Hot;Mar;29;1959;2.883.848;25;25
Logan's Run;Jan;1;1976;7;25;25
Aloha;May;29;2015;37;2.105.203;24.935.799
Whiskey Tango Foxtrot;Mar;4;2016;35;23.083.334;24.915.969
Catch-22;Jun;24;1970;18;2.491.167;2.491.167
Kurtlar vadisi - Irak;Nov;24;2006;8.Mar;0;24.906.717
Nebraska;Nov;15;2013;12;17.654.912;2.476.136
Lottery Ticket;Aug;20;2010;17;24.719.879;24.719.879
Seed of Chucky;Nov;12;2004;29;1.701.619;2.471.619
Biutiful;Jan;28;2011;35;5.101.237;24.687.524
Sparkle;Aug;17;2012;10;24.397.469;24.660.323
Mad Max 2: The Road Warrior;May;21;1982;2;24.600.832;24.600.832
The Apartment;Jun;15;1960;3;18.Haz;24.Haz
Punch-Drunk Love;Oct;11;2002;25;17.791.031;24.591.031
The Zookeeper’s Wife;Mar;31;2017;20;17.445.186;2.452.214
Joe Somebody;Dec;21;2001;38;22.770.864;2.451.599
In the Valley of Elah;Sep;14;2007;23;6.777.741;2.448.915
I Don't Know How She Does It;Sep;16;2011;24;9.659.074;24.474.463
Modern Problems;Dec;25;1981;8;24.474.312;24.474.312
Notorious;Jan;1;1946;2;24.464.742;24.464.742
Jodaeiye Nader az Simin;Dec;30;2011;0.8;7.098.492;24.426.169
Arlington Road;Jul;9;1999;21.May;24.419.219;24.419.219
The Shipping News;Dec;25;2001;35;11.405.825;24.405.825
In the Heat of the Night;Aug;2;1967;2;24.379.978;24.391.108
The Next Best Thing;Mar;3;2000;25;14.983.572;24.355.762
Warrior;Sep;9;2011;25;13.657.115;24.215.385
Renaissance Man;Jun;3;1994;40;24.172.899;24.172.899
Wanderlust;Feb;24;2012;32.5;17.288.155;24.159.934
The Guru;Jan;31;2003;11;3.051.221;2.415.055
The Adventures of Huck Finn;Apr;2;1993;6.May;24.103.594;24.103.594
Ong-Bak;Feb;11;2005;1.Oca;4.563.167;24.062.965
The Dressmaker;Sep;23;2016;11.Eyl;2.022.115;24.041.617
Swimming Pool;Jul;4;2003;7.Ağu;10.130.108;24.021.282
Virtuosity;Aug;4;1995;30;23.998.226;23.998.226
The Alamo;Apr;9;2004;92;22.406.362;23.911.362
The Railway Man;Apr;11;2014;18;4.438.438;2.391.021
Graduation Day;May;1;1981;0.25;23.894;23.894
Life as a House;Oct;26;2001;18;15.652.637;23.889.158
Annihilation;Feb;23;2018;55;23.814.514;23.814.514
Annihilation;Feb;23;2018;55;23.814.514;23.814.514
House of Wax;Apr;10;1953;0.658;23.Ağu;23.Ağu
Dickie Roberts: Former Child Star;Sep;5;2003;17;22.734.486;23.734.486
In the Cut;Oct;22;2003;12;4.717.455;23.693.646
Network;Jan;1;1976;3.Ağu;23.689.877;23.689.877
North Country;Oct;21;2005;30;18.324.242;23.676.771
Armored;Dec;4;2009;20;15.988.876;23.661.038
The Best Years of Our Lives;Nov;21;1946;2.Oca;23.Haz;23.Haz
Hustle & Flow;Jul;22;2005;2.Ağu;22.202.809;23.591.783
Kevin Hart: What Now?;Oct;14;2016;10;23.591.043;23.591.043
God’s Not Dead 2;Apr;1;2016;5;20.773.069;23.565.072
Legend;Apr;18;1986;25;15.502.112;23.506.237
Chinjeolhan geumjassi;May;4;2006;4.May;0.211667;23.471.871
Kingdom Come;Apr;11;2001;7;23.247.539;23.393.939
